,url,campaignTitle,success,mainCategory,category,totWordCount,numImages,continent,sentiment_score,sentiment_magnitude
0,https://www.kickstarter.com/projects/1001433890/die-kamera?ref=ending_soon,Die Kamera,0,Film & Video,Webseries,253,0,Europe,0.0,5.7
1,https://www.kickstarter.com/projects/100146151/flores-documentary-film?ref=ending_soon,"""Flores"" Documentary Film",1,Film & Video,Documentary,1165,7,North America,0.4,20.5
2,https://www.kickstarter.com/projects/1002171905/friction-7-a-fine-art-and-literature-collection?ref=ending_soon,F(r)iction #7 - A Fine Art & Literature Collection,1,Publishing,Fiction,1371,12,North America,0.2,19.4
3,https://www.kickstarter.com/projects/1002969621/design-canada?ref=ending_soon,Design Canada,1,Design,Graphic Design,1040,34,North America,0.1,13.4
4,https://www.kickstarter.com/projects/1003458897/new-hyperkid-book-the-cyborg-at-the-end-of-the-uni?ref=ending_soon,New HyperKid Book - The Cyborg at the End of the Universe (Canceled),0,Publishing,Young Adult,1641,0,North America,0.0,9.8
5,https://www.kickstarter.com/projects/1004328718/unsung-hero-bolt-and-nut-pin?ref=ending_soon,Unsung hero! BOLT and NUT pin!,0,Art,Digital Art,158,4,Asia,0.1,2.5
6,https://www.kickstarter.com/projects/1005089432/this-land-is-our-land?ref=ending_soon,This Land is Our Land,1,Film & Video,Documentary,897,0,North America,0.2,16.6
7,https://www.kickstarter.com/projects/1005885740/gellies-treats-and-eats?ref=ending_soon,Gellie's Treats and Eats,0,Food,Food,197,0,North America,0.2,5.4
8,https://www.kickstarter.com/projects/1006482380/the-paddle-ontario-project?ref=ending_soon,The Paddle Ontario Project,1,Art,Art,305,0,North America,0.4,4.6
9,https://www.kickstarter.com/projects/1007040297/benny-hill-campaign?ref=ending_soon,Benny Hill Campaign,0,Art,Sculpture,289,0,Europe,0.3,6.7
10,https://www.kickstarter.com/projects/1007090035/antilibraries-codex-libri?ref=ending_soon,Antilibraries: Codex Libri,1,Publishing,Zines,1328,10,North America,0.3,30.4
11,https://www.kickstarter.com/projects/1007706754/diabetic-joe-childrens-book-series?ref=ending_soon,The Adventures of Joey & Friends | Animated Series,0,Publishing,Children's Books,938,5,North America,0.1,17.2
12,https://www.kickstarter.com/projects/1008540357/fandr-sustainable-and-ethical-clothing?ref=ending_soon,F&R: Sustainable and Ethical Clothing,0,Fashion,Learn more about accountability.,296,0,North America,0.1,1.2
13,https://www.kickstarter.com/projects/1008812345/mythic-ennam-and-saduri-for-savage-worlds-0?ref=ending_soon,Mythic: Ennam & Saduri for Savage Worlds,0,Games,Tabletop Games,615,2,North America,0.2,8.9
14,https://www.kickstarter.com/projects/1010462768/the-mysterious-murder-of-angston-levi-iii?ref=ending_soon,The Mysterious Murder of Angston Levi III,1,Theater,Musical,229,0,North America,0.1,1.7
15,https://www.kickstarter.com/projects/1010893457/12-piece-passover-afikoman-puzzle?ref=ending_soon,12 Piece Passover Afikoman Puzzle,0,Games,Puzzles,211,4,North America,0.4,5.4
16,https://www.kickstarter.com/projects/1011429957/deadindustryradiocom?ref=ending_soon,DeadIndustryRadio.com,0,Music,Music,422,0,North America,0.2,5.7
17,https://www.kickstarter.com/projects/1011600882/pure-expression-insult-soaps?ref=ending_soon,Pure Expression Insult Soaps,0,Crafts,Crafts,152,7,North America,0.1,1.7
18,https://www.kickstarter.com/projects/1014894732/aqualogue?ref=ending_soon,Aqualogue: Aquaponics Education + Research in Chicago,1,Food,Spaces,1023,10,North America,0.3,19.0
19,https://www.kickstarter.com/projects/1015538166/natural-handmade-products-for-the-personal-care?ref=ending_soon,Natural handmade products for the personal care,0,Fashion,Fashion,115,0,Europe,0.7,2.1
20,https://www.kickstarter.com/projects/1016208644/the-adventures-of-webzy?ref=ending_soon,The Adventures of Webzy,0,Publishing,Children's Books,251,0,Europe,0.5,3.9
21,https://www.kickstarter.com/projects/101715754/la-pocima?ref=ending_soon,La PÃ³cima animaciÃ³n stop-motion,1,Film & Video,Animation,2116,32,North America,0.3,44.5
22,https://www.kickstarter.com/projects/1017615631/water-filter-for-two-three-or-five-gallon-bottles?ref=ending_soon,"Water Filter for Two, Three, or Five Gallon Bottles",0,Design,Product Design,727,7,North America,0.0,11.3
23,https://www.kickstarter.com/projects/1017791154/alaska-sharks-fund-critical-conservation-and-advoc?ref=ending_soon,ALASKA SHARKS - Fund Critical Conservation and Advocacy (Canceled),0,Film & Video,Documentary,2580,47,North America,0.2,48.7
24,https://www.kickstarter.com/projects/1018134888/mentor-link-connection?ref=ending_soon,Mentor Link Connection,0,Technology,Apps,297,0,North America,0.4,4.0
25,https://www.kickstarter.com/projects/1018442294/cctvylle-everything-is-under-control-comic-issue-0?ref=ending_soon,CCTVYLLE - Everything is under control - Comic issue 02,1,Comics,Comic Books,2047,105,Europe,0.1,41.0
26,https://www.kickstarter.com/projects/1019364348/pilot-who-is-martin?ref=ending_soon,"Pilot ""Who is Martin""",0,Film & Video,Comedy,1253,13,North America,0.2,29.1
27,https://www.kickstarter.com/projects/102022033/boats-n-bikes-13-part-tv-series?ref=ending_soon,Boats N Bikes - 13 part TV series,0,Film & Video,Film & Video,401,0,Europe,0.7,5.2
28,https://www.kickstarter.com/projects/1021096490/madhu-and-alex-the-sami-brothers?ref=ending_soon,Madhu & Alex - The SÄmi Brothers,1,Music,World Music,111,0,North America,0.6,0.6
29,https://www.kickstarter.com/projects/1021700967/iamtalibe?ref=ending_soon,#IamTALIBE,0,Photography,People,344,6,Africa,-0.1,3.9
30,https://www.kickstarter.com/projects/102192629/where-i-stand?ref=ending_soon,"""Where I Stand""",0,Music,Country & Folk,512,7,North America,0.3,8.4
31,https://www.kickstarter.com/projects/1022047334/shea-butter-souffle-whipped-shea-butter?ref=ending_soon,Shea Butter Souffle (Whipped Shea Butter),0,Crafts,Crafts,132,0,North America,0.4,1.7
32,https://www.kickstarter.com/projects/1023300779/the-education-bubble-visualized?ref=ending_soon,The Education Bubble Visualized,0,Film & Video,Film & Video,547,0,Europe,0.0,5.9
33,https://www.kickstarter.com/projects/1024306320/play-center-for-mexican-children?ref=ending_soon,Indoor playground for children in Mexico,0,Games,Games,178,0,North America,0.0,1.9
34,https://www.kickstarter.com/projects/1024575517/ninja-bounce-kids-entertainment-center?ref=ending_soon,Ninja Bounce (kids entertainment center),0,Games,Live Games,305,0,North America,0.1,5.3
35,https://www.kickstarter.com/projects/1024870559/maya-chieftain-a-native-american-themed-strategy-g?ref=ending_soon,Maya Chieftain: A Native American Themed Strategy Game (Canceled),0,Games,Video Games,310,0,Europe,0.5,2.2
36,https://www.kickstarter.com/projects/102519863/tsuki-kami?ref=ending_soon,Tsuki Kami,0,Games,Video Games,281,4,Europe,0.1,4.9
37,https://www.kickstarter.com/projects/1025575468/natural-mosquito-repellent-soaps-lotions-and-so-mu?ref=ending_soon,"Natural Mosquito Repellent Soaps, Lotions and So Much More",0,Crafts,Crafts,807,4,North America,0.2,26.9
38,https://www.kickstarter.com/projects/1026209257/maybe-immersive-reality-play?ref=ending_soon,May(be) - immersive reality play,1,Theater,Immersive,493,0,Europe,0.2,6.7
39,https://www.kickstarter.com/projects/10262539/the-cam-tourist-cuba-an-inspiring-photo-travel-boo?ref=ending_soon,The Cam Tourist Cuba - Interactive photo travel ebook & book,0,Photography,Photobooks,712,12,Europe,0.3,16.5
40,https://www.kickstarter.com/projects/1026257244/rough-cut-cartel-gems-jewelry-and-dog-stones?ref=ending_soon,"Rough Cut Cartel Gems, Jewelry and ""Dog-stones""",0,Art,Mixed Media,393,0,North America,0.3,6.1
41,https://www.kickstarter.com/projects/102635724/new-tech-company-starting-facebook-page-business?ref=ending_soon,New Tech Company Starting Facebook Page Business,0,Technology,Web,160,0,North America,0.1,1.9
42,https://www.kickstarter.com/projects/102653228/the-desert-of-when-noonday-crawlers-studio-release?ref=ending_soon,The Desert of When - Noonday Crawlers Studio Release,1,Music,Rock,219,0,North America,0.2,3.5
43,https://www.kickstarter.com/projects/1026781298/simple-home-automation-system?ref=ending_soon,Simple home automation system,0,Technology,Gadgets,128,0,Europe,0.3,1.8
44,https://www.kickstarter.com/projects/1026956311/rhythamatrix-blends-modern-indigenous-healings-par?ref=ending_soon,Rhythamatrix Blends: Modern Indigenous Healings Part 2,0,Music,Jazz,301,0,North America,0.6,4.3
45,https://www.kickstarter.com/projects/1027437456/its-on-us-the-stories-of-public-school-librarians?ref=ending_soon,It's on us: The Stories of Public School Librarians,1,Film & Video,Documentary,721,0,North America,0.2,13.6
46,https://www.kickstarter.com/projects/1027808330/color-by-amanda-norman?ref=ending_soon,Color by Amanda Norman,1,Publishing,Children's Books,531,0,North America,0.2,6.1
47,https://www.kickstarter.com/projects/1028465273/the-glass-die?ref=ending_soon,The Glass Die,1,Games,Tabletop Games,570,18,North America,0.2,12.1
48,https://www.kickstarter.com/projects/1029235966/naken-sarbar-and-skitsur?ref=ending_soon,"Naken, SÃ¥rbar & Skitsur",1,Film & Video,Drama,573,0,Europe,0.0,0.0
